#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#collection: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	collection	FCS_File
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0 uM.fcs	DRA01	1	0 uM	1	0	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	DRA01	2	0.0064 uM	1	0.0064	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.0064 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.032 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.032 uM.fcs	DRA01	3	0.032 uM	1	0.032	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.032 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.16 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.16 uM.fcs	DRA01	4	0.16 uM	1	0.16	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.16 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.8 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.8 uM.fcs	DRA01	5	0.8 uM	1	0.8	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_0.8 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_100 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_100 uM.fcs	DRA01	6	100 uM	1	100	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_100 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_20 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_20 uM.fcs	DRA01	7	20 uM	1	20	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_20 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_4 uM.fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_4 uM.fcs	DRA01	8	4 uM	1	4	end	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Exponential_4 uM.fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	DRA01	9	0.16 uM (Inter 1)	1	0.16	intermediate 1	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs
1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	DRA01	10	0.16 uM (Inter 2)	1	0.16	intermediate 2	1Pat-08052022-Biosensor_LCMS_rep2-DRA01_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs
