#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#set: NA
#sample_set: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	set	sample_set	colony	FCS_File
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	S-DRA01	1	0 uM	1	0	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	S-DRA01	2	0.0000953 uM	1	9.53e-05	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	S-DRA01	3	0.000381 uM	1	0.000381	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	S-DRA01	4	0.001525 uM	1	0.001525	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	S-DRA01	5	0.0061 uM	1	0.0061	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs	S-DRA01	6	0.02441 uM	1	0.02441	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs	S-DRA01	7	0.09765 uM	1	0.09765	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs	S-DRA01	8	0.3906 uM	1	0.3906	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs	S-DRA01	9	1.5625 uM	1	1.5625	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs	S-DRA01	10	100 uM	1	100	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs	S-DRA01	11	25 uM	1	25	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs	S-DRA01	12	6.25 uM	1	6.25	1	1_1	1	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs	S-DRA01	13	0 uM	1	0	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs	S-DRA01	14	0.0000953 uM	1	9.53e-05	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.0000953 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs	S-DRA01	15	0.000381 uM	1	0.000381	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.000381 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs	S-DRA01	16	0.001525 uM	1	0.001525	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.001525 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.00610 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.00610 uM.fcs	S-DRA01	17	0.0061 uM	1	0.0061	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.00610 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.02441 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.02441 uM.fcs	S-DRA01	18	0.02441 uM	1	0.02441	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.02441 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.09765 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.09765 uM.fcs	S-DRA01	19	0.09765 uM	1	0.09765	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.09765 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.3906 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.3906 uM.fcs	S-DRA01	20	0.3906 uM	1	0.3906	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 0.3906 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 1.5625 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 1.5625 uM.fcs	S-DRA01	21	1.5625 uM	1	1.5625	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 1.5625 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 100 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 100 uM.fcs	S-DRA01	22	100 uM	1	100	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 100 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 25 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 25 uM.fcs	S-DRA01	23	25 uM	1	25	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 25 uM.fcs
1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 6.25 uM.fcs	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 6.25 uM.fcs	S-DRA01	24	6.25 uM	1	6.25	2	1_2	2	1Pat-09282022-Biosensor_Stationary-DRA01_Experiment_biosensor_stationary_colony 2_IAA 6.25 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	S-DRA02	25	0 uM	2	0	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	S-DRA02	26	0.0000953 uM	2	9.53e-05	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	S-DRA02	27	0.000381 uM	2	0.000381	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	S-DRA02	28	0.001525 uM	2	0.001525	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	S-DRA02	29	0.0061 uM	2	0.0061	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs
