#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#date: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	date	FCS_File
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs	DRA-01182023_read9	1	0 uM	0	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs	DRA-01182023_read9	2	0.0000102 uM	1.02e-05	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs	DRA-01182023_read9	3	0.0000512 uM	5.12e-05	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs	DRA-01182023_read9	4	0.000256 uM	0.000256	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs	DRA-01182023_read9	5	0.00128 uM	0.00128	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs	DRA-01182023_read9	6	0.0064 uM	0.0064	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs	DRA-01182023_read9	7	0.032 uM	0.032	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs	DRA-01182023_read9	8	0.16 uM	0.16	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs	DRA-01182023_read9	9	0.8 uM	0.8	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs	DRA-01182023_read9	10	100 uM	100	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs	DRA-01182023_read9	11	20 uM	20	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs
1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs	DRA-01182023_read9	12	4 uM	4	1	18-Jan-23	1Pat-01182023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs
