#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#point: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	point	colony	FCS_File
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0 uM.fcs	DRA-03182023_read8	1	0 uM	0	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0000102 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0000102 uM.fcs	DRA-03182023_read8	2	0.0000102 uM	1.02e-05	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0000102 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0000512 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0000512 uM.fcs	DRA-03182023_read8	3	0.0000512 uM	5.12e-05	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0000512 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.000256 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.000256 uM.fcs	DRA-03182023_read8	4	0.000256 uM	0.000256	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.000256 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.00128 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.00128 uM.fcs	DRA-03182023_read8	5	0.00128 uM	0.00128	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.00128 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0064 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0064 uM.fcs	DRA-03182023_read8	6	0.0064 uM	0.0064	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.0064 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.032 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.032 uM.fcs	DRA-03182023_read8	7	0.032 uM	0.032	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.032 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.16 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.16 uM.fcs	DRA-03182023_read8	8	0.16 uM	0.16	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.16 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.8 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.8 uM.fcs	DRA-03182023_read8	9	0.8 uM	0.8	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 0.8 uM.fcs
1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 100 uM.fcs	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 100 uM.fcs	DRA-03182023_read8	10	100 uM	100	4	8	1	1Pat-03182023-Biosensors_DRA08_Experiment_yWL209-PC_IAA 100 uM.fcs
