#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#reading: NA
#before_after: NA
#design_construct: NA
#FCS_File: NA
name	folder	X	strain	treatment	reading	before_after	design_construct	FCS_File
1B01.fcs	1B01.fcs	r02	1	yWL161	Control EtOH	2	before	TIR1 trans	1B01.fcs
1B02.fcs	1B02.fcs	r02	2	yWL162	Control EtOH	2	before	AFB2 trans	1B02.fcs
1B03.fcs	1B03.fcs	r02	3	yWL185	Control EtOH	2	before	TIR1 cis	1B03.fcs
1B04.fcs	1B04.fcs	r02	4	yWL186	Control EtOH	2	before	AFB2 cis	1B04.fcs
1B07.fcs	1B07.fcs	r02	5	yWL161	Auxin	2	before	TIR1 trans	1B07.fcs
1B08.fcs	1B08.fcs	r02	6	yWL162	Auxin	2	before	AFB2 trans	1B08.fcs
1B09.fcs	1B09.fcs	r02	7	yWL185	Auxin	2	before	TIR1 cis	1B09.fcs
1B10.fcs	1B10.fcs	r02	8	yWL186	Auxin	2	before	AFB2 cis	1B10.fcs
2C01.fcs	2C01.fcs	r03	9	yWL161	Control EtOH	3	before	TIR1 trans	2C01.fcs
2C02.fcs	2C02.fcs	r03	10	yWL162	Control EtOH	3	before	AFB2 trans	2C02.fcs
2C03.fcs	2C03.fcs	r03	11	yWL185	Control EtOH	3	before	TIR1 cis	2C03.fcs
2C04.fcs	2C04.fcs	r03	12	yWL186	Control EtOH	3	before	AFB2 cis	2C04.fcs
2C07.fcs	2C07.fcs	r03	13	yWL161	Auxin	3	before	TIR1 trans	2C07.fcs
2C08.fcs	2C08.fcs	r03	14	yWL162	Auxin	3	before	AFB2 trans	2C08.fcs
2C09.fcs	2C09.fcs	r03	15	yWL185	Auxin	3	before	TIR1 cis	2C09.fcs
2C10.fcs	2C10.fcs	r03	16	yWL186	Auxin	3	before	AFB2 cis	2C10.fcs
3D01.fcs	3D01.fcs	r04	17	yWL161	Control EtOH	4	before	TIR1 trans	3D01.fcs
3D02.fcs	3D02.fcs	r04	18	yWL162	Control EtOH	4	before	AFB2 trans	3D02.fcs
3D03.fcs	3D03.fcs	r04	19	yWL185	Control EtOH	4	before	TIR1 cis	3D03.fcs
3D04.fcs	3D04.fcs	r04	20	yWL186	Control EtOH	4	before	AFB2 cis	3D04.fcs
3D07.fcs	3D07.fcs	r04	21	yWL161	Auxin	4	before	TIR1 trans	3D07.fcs
3D08.fcs	3D08.fcs	r04	22	yWL162	Auxin	4	before	AFB2 trans	3D08.fcs
3D09.fcs	3D09.fcs	r04	23	yWL185	Auxin	4	before	TIR1 cis	3D09.fcs
3D10.fcs	3D10.fcs	r04	24	yWL186	Auxin	4	before	AFB2 cis	3D10.fcs
4E01.fcs	4E01.fcs	r05	25	yWL161	Control EtOH	5	after	TIR1 trans	4E01.fcs
4E02.fcs	4E02.fcs	r05	26	yWL162	Control EtOH	5	after	AFB2 trans	4E02.fcs
4E03.fcs	4E03.fcs	r05	27	yWL185	Control EtOH	5	after	TIR1 cis	4E03.fcs
4E04.fcs	4E04.fcs	r05	28	yWL186	Control EtOH	5	after	AFB2 cis	4E04.fcs
4E07.fcs	4E07.fcs	r05	29	yWL161	Auxin	5	after	TIR1 trans	4E07.fcs
4E08.fcs	4E08.fcs	r05	30	yWL162	Auxin	5	after	AFB2 trans	4E08.fcs
4E09.fcs	4E09.fcs	r05	31	yWL185	Auxin	5	after	TIR1 cis	4E09.fcs
4E10.fcs	4E10.fcs	r05	32	yWL186	Auxin	5	after	AFB2 cis	4E10.fcs
5F01.fcs	5F01.fcs	r06	33	yWL161	Control EtOH	6	after	TIR1 trans	5F01.fcs
5F02.fcs	5F02.fcs	r06	34	yWL162	Control EtOH	6	after	AFB2 trans	5F02.fcs
5F03.fcs	5F03.fcs	r06	35	yWL185	Control EtOH	6	after	TIR1 cis	5F03.fcs
5F04.fcs	5F04.fcs	r06	36	yWL186	Control EtOH	6	after	AFB2 cis	5F04.fcs
5F07.fcs	5F07.fcs	r06	37	yWL161	Auxin	6	after	TIR1 trans	5F07.fcs
5F08.fcs	5F08.fcs	r06	38	yWL162	Auxin	6	after	AFB2 trans	5F08.fcs
5F09.fcs	5F09.fcs	r06	39	yWL185	Auxin	6	after	TIR1 cis	5F09.fcs
5F10.fcs	5F10.fcs	r06	40	yWL186	Auxin	6	after	AFB2 cis	5F10.fcs
6G01.fcs	6G01.fcs	r07	41	yWL161	Control EtOH	7	after	TIR1 trans	6G01.fcs
6G02.fcs	6G02.fcs	r07	42	yWL162	Control EtOH	7	after	AFB2 trans	6G02.fcs
6G03.fcs	6G03.fcs	r07	43	yWL185	Control EtOH	7	after	TIR1 cis	6G03.fcs
6G04.fcs	6G04.fcs	r07	44	yWL186	Control EtOH	7	after	AFB2 cis	6G04.fcs
6G07.fcs	6G07.fcs	r07	45	yWL161	Auxin	7	after	TIR1 trans	6G07.fcs
6G08.fcs	6G08.fcs	r07	46	yWL162	Auxin	7	after	AFB2 trans	6G08.fcs
6G09.fcs	6G09.fcs	r07	47	yWL185	Auxin	7	after	TIR1 cis	6G09.fcs
6G10.fcs	6G10.fcs	r07	48	yWL186	Auxin	7	after	AFB2 cis	6G10.fcs
7H01.fcs	7H01.fcs	r08	49	yWL161	Control EtOH	8	after	TIR1 trans	7H01.fcs
7H02.fcs	7H02.fcs	r08	50	yWL162	Control EtOH	8	after	AFB2 trans	7H02.fcs
7H03.fcs	7H03.fcs	r08	51	yWL185	Control EtOH	8	after	TIR1 cis	7H03.fcs
7H04.fcs	7H04.fcs	r08	52	yWL186	Control EtOH	8	after	AFB2 cis	7H04.fcs
7H07.fcs	7H07.fcs	r08	53	yWL161	Auxin	8	after	TIR1 trans	7H07.fcs
7H08.fcs	7H08.fcs	r08	54	yWL162	Auxin	8	after	AFB2 trans	7H08.fcs
7H09.fcs	7H09.fcs	r08	55	yWL185	Auxin	8	after	TIR1 cis	7H09.fcs
7H10.fcs	7H10.fcs	r08	56	yWL186	Auxin	8	after	AFB2 cis	7H10.fcs
