#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#colony: NA
#design: NA
#yeast: NA
#design_yeast: NA
#FCS_File: NA
name	folder	X	strain	treatment	colony	design	yeast	design_yeast	FCS_File
103112022-Pat-TCA01_Time-course assay_Auxin_yWL185-C1.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL185-C1.fcs	TCA01	1	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	103112022-Pat-TCA01_Time-course assay_Auxin_yWL185-C1.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL185-C2.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL185-C2.fcs	TCA01	2	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	103112022-Pat-TCA01_Time-course assay_Auxin_yWL185-C2.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL186-C1.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL186-C1.fcs	TCA01	3	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	103112022-Pat-TCA01_Time-course assay_Auxin_yWL186-C1.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL186-C2.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL186-C2.fcs	TCA01	4	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	103112022-Pat-TCA01_Time-course assay_Auxin_yWL186-C2.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL209-C1.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL209-C1.fcs	TCA01	5	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	103112022-Pat-TCA01_Time-course assay_Auxin_yWL209-C1.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL209-C2.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL209-C2.fcs	TCA01	6	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	103112022-Pat-TCA01_Time-course assay_Auxin_yWL209-C2.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL210-C1.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL210-C1.fcs	TCA01	7	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	103112022-Pat-TCA01_Time-course assay_Auxin_yWL210-C1.fcs
103112022-Pat-TCA01_Time-course assay_Auxin_yWL210-C2.fcs	103112022-Pat-TCA01_Time-course assay_Auxin_yWL210-C2.fcs	TCA01	8	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	103112022-Pat-TCA01_Time-course assay_Auxin_yWL210-C2.fcs
103112022-Pat-TCA01_Time-course assay_Control_yWL185-C1.fcs	103112022-Pat-TCA01_Time-course assay_Control_yWL185-C1.fcs	TCA01	9	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	103112022-Pat-TCA01_Time-course assay_Control_yWL185-C1.fcs
103112022-Pat-TCA01_Time-course assay_Control_yWL185-C2.fcs	103112022-Pat-TCA01_Time-course assay_Control_yWL185-C2.fcs	TCA01	10	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	103112022-Pat-TCA01_Time-course assay_Control_yWL185-C2.fcs
