#name: Name
#folder: NA
#strain: NA
#treatment: NA
#yWL: NA
#Strains: NA
#shortname: NA
#Genotype: NA
#MATa: NA
#MATalpha: NA
#Fluorescence.check.by.iBright: NA
#Re.streak.in.a.YPAD.plate: NA
#Re.mating: NA
#comment: NA
#FCS_File: NA
name	folder	strain	treatment	yWL	Strains	shortname	Genotype	MATa	MATalpha	Fluorescence.check.by.iBright	Re.streak.in.a.YPAD.plate	Re.mating	comment	FCS_File
11C07.fcs	11C07.fcs	20200611_AFB_epistasis	A2A2	DMSO	165	yWL165	yWL120 X yWL162 (pGP6G2ccdb)_(pGP8G2)_(AFB2)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)-(pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) |	AFB2	AFB2	Yes	Yes		NA	11C07.fcs
11C08.fcs	11C08.fcs	20200611_AFB_epistasis	A2A2	IAA	165	yWL165	yWL120 X yWL162 (pGP6G2ccdb)_(pGP8G2)_(AFB2)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)-(pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) |	AFB2	AFB2	Yes	Yes		NA	11C08.fcs
11C09.fcs	11C09.fcs	20200611_AFB_epistasis	T1T1	DMSO	166	yWL166	yWL121 X yWL161 (pGP6G2ccdb)_(pGP8G2)_(TIR1)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)_(pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) |	TIR1	TIR1	Yes	Yes		NA	11C09.fcs
11C10.fcs	11C10.fcs	20200611_AFB_epistasis	T1T1	IAA	166	yWL166	yWL121 X yWL161 (pGP6G2ccdb)_(pGP8G2)_(TIR1)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)_(pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) |	TIR1	TIR1	Yes	Yes		NA	11C10.fcs
11E03.fcs	11E03.fcs	20200611_AFB_epistasis	A2A2	DMSO	165	yWL165	yWL120 X yWL162 (pGP6G2ccdb)_(pGP8G2)_(AFB2)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)-(pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) |	AFB2	AFB2	Yes	Yes		NA	11E03.fcs
11E04.fcs	11E04.fcs	20200611_AFB_epistasis	A2A2	IAA	165	yWL165	yWL120 X yWL162 (pGP6G2ccdb)_(pGP8G2)_(AFB2)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)-(pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) |	AFB2	AFB2	Yes	Yes		NA	11E04.fcs
11E05.fcs	11E05.fcs	20200611_AFB_epistasis	T1T1	DMSO	166	yWL166	yWL121 X yWL161 (pGP6G2ccdb)_(pGP8G2)_(TIR1)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)_(pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) |	TIR1	TIR1	Yes	Yes		NA	11E05.fcs
11E06.fcs	11E06.fcs	20200611_AFB_epistasis	T1T1	IAA	166	yWL166	yWL121 X yWL161 (pGP6G2ccdb)_(pGP8G2)_(TIR1)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)_(pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) |	TIR1	TIR1	Yes	Yes		NA	11E06.fcs
11F11.fcs	11F11.fcs	20200611_AFB_epistasis	A2A2	DMSO	165	yWL165	yWL120 X yWL162 (pGP6G2ccdb)_(pGP8G2)_(AFB2)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)-(pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) |	AFB2	AFB2	Yes	Yes		NA	11F11.fcs
11F12.fcs	11F12.fcs	20200611_AFB_epistasis	A2A2	IAA	165	yWL165	yWL120 X yWL162 (pGP6G2ccdb)_(pGP8G2)_(AFB2)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)-(pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(AFB2f)_(AFB2l)_(3xF6xH_) |	AFB2	AFB2	Yes	Yes		NA	11F12.fcs
11G01.fcs	11G01.fcs	20200611_AFB_epistasis	T1T1	DMSO	166	yWL166	yWL121 X yWL161 (pGP6G2ccdb)_(pGP8G2)_(TIR1)_(3xF6xH_) I (pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet)_(pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_)	W303-1A ADE2+ | | pGP6G2-ccdb | | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) | | | W814-29B | pGP4G2-yEGFP-IAA17-ERBV-1-2a-mScarlet | (pGP8G2)_(TIR1f)_(TIR1l)_(3xF6xH_) |	TIR1	TIR1	Yes	Yes		NA	11G01.fcs
